Week,Total Doses Distributed
03/01/13,≈ 134.9 million doses
02/22/13,≈ 134.9 million doses
02/15/13,≈ 134.8 million doses
02/08/13,≈ 134.8 million doses
02/01/13,≈ 134.6 million doses
01/25/13,≈ 134.2 million doses
01/18/13,≈ 133.5 million doses
01/11/13,≈ 129.4 million doses
01/04/13,≈ 128.1 million doses
12/14/12,≈ 127.1 million doses
12/07/12,≈ 126.3 million doses
11/30/12,≈ 125.3 million doses
11/23/12,≈ 124.7 million doses
11/09/12,≈ 123.7 million doses
11/02/12,≈ 121.8 million doses
10/26/12,≈ 120.4 million doses
10/19/12,≈ 117.1 million doses
10/12/12,≈ 114.6 million doses
10/05/12,≈ 112.7 million doses
09/28/12,≈ 105.1 million doses
09/21/12,≈ 96.8 million doses
09/14/12,≈ 85.6 million doses
09/07/12,≈ 72.6 million doses
≈ = approximate,≈ = approximate
