Week,Total Doses Distributed
2/26/​2021,193.8 M
2/12/​2021,193.7 M
2/5/​2021,193.6 M
1/29/​2021,193.4 M
1/15/​2021,193.2 M
1/8/2021,192.9 M
1/1/2021,192.5 M
12/25/2020,192.3 M
12/18/2020,192.1 M
12/11/2020,190.4 M
12/4/2020,189.4 M
11/27/2020,188.0 M
11/20/2020,186.9 M*
11/13/2020,183.0 M
11/6/2020,179.6 M
10/30/2020,172.3 M
10/23/2020,164.7 M
10/16/2020,154.6 M
10/9/2020,139.4 M
10/2/2020,124.2 M
9/25/2020,105.5 M
9/18/2020,87.5 M
9/11/2020,66.6 M
9/4/2020,47.6 M
8/28/2020,32.4 M
8/21/2020,21.8 M
8/14/2020,13.7 M
