,Week,Total Doses Distributed,Year,Month,Day
0,2011-08-26,55.1,2011,8,26
1,2011-09-02,67.9,2011,9,2
2,2011-09-09,85.9,2011,9,9
3,2011-09-16,97.7,2011,9,16
4,2011-09-23,104.8,2011,9,23
5,2011-09-30,110.4,2011,9,30
6,2011-10-07,115.5,2011,10,7
7,2011-10-21,122.9,2011,10,21
8,2011-10-28,124.9,2011,10,28
9,2011-11-11,126.9,2011,11,11
10,2011-11-18,127.9,2011,11,18
11,2011-11-25,129.2,2011,11,25
12,2011-12-09,130.1,2011,12,9
13,2011-12-16,130.6,2011,12,16
14,2011-12-30,131.2,2011,12,30
15,2012-01-20,132.0,2012,1,20
16,2012-02-03,132.1,2012,2,3
17,2012-09-07,72.6,2012,9,7
18,2012-09-14,85.6,2012,9,14
19,2012-09-21,96.8,2012,9,21
20,2012-09-28,105.1,2012,9,28
21,2012-10-05,112.7,2012,10,5
22,2012-10-12,114.6,2012,10,12
23,2012-10-19,117.1,2012,10,19
24,2012-10-26,120.4,2012,10,26
25,2012-11-02,121.8,2012,11,2
26,2012-11-09,123.7,2012,11,9
27,2012-11-23,124.7,2012,11,23
28,2012-11-30,125.3,2012,11,30
29,2012-12-07,126.3,2012,12,7
30,2012-12-14,127.1,2012,12,14
31,2013-01-04,128.1,2013,1,4
32,2013-01-11,129.4,2013,1,11
33,2013-01-18,133.5,2013,1,18
34,2013-01-25,134.2,2013,1,25
35,2013-02-01,134.6,2013,2,1
36,2013-02-08,134.8,2013,2,8
37,2013-02-15,134.8,2013,2,15
38,2013-02-22,134.9,2013,2,22
39,2013-03-01,134.9,2013,3,1
40,2013-08-30,40.2,2013,8,30
41,2013-09-06,50.2,2013,9,6
42,2013-09-13,61.8,2013,9,13
43,2013-09-20,73.0,2013,9,20
44,2013-10-18,110.5,2013,10,18
45,2013-10-25,113.9,2013,10,25
46,2013-11-01,118.3,2013,11,1
47,2013-11-08,123.6,2013,11,8
48,2013-11-15,126.3,2013,11,15
49,2013-11-29,128.6,2013,11,29
50,2013-12-06,129.8,2013,12,6
51,2013-12-13,130.2,2013,12,13
52,2014-01-03,131.2,2014,1,3
